ID_REF,GSM1443061,GSM1443062,GSM1443063,GSM1443064,GSM1443065,GSM1443066
267,75638415,81816043,88327014,52870846,82908939,35119880
268,2586359,0.37,0.39,0.44,0.44,0.49
269,0.63,33824268,1049431,92148283,61783156,8353415
270,0.03,0.04,9139326,0.09,0.09,55153024
271,0.16,0.11,0.57,0.09,0.09,9028785
272,0.55,0.05,0.05,0.09,0.09,0.38
273,33522053,105025541,182062781,260182506,297153119,225911774
274,1171788,1023770,2574162,1583998,1218622,0.23
275,0.49,1554245,1308942,0.96,1092755,10265284
276,0.43,0.15,0.15,0.4,0.4,0.1
277,197459981,282866050,329654256,577321182,637119051,348191985
278,0.09,10487234,31275367,0.59,0.22,0.38
279,0.03,0.04,0.05,0.09,0.09,0.1
280,11797798,17032931,12263927,20228684,4043145,30813603
281,5036967,0.33,1788189,0.21,133114843,8564705
282,7279341,28081827,4419945,54461036,1983263,0.86
283,37670845,5449599,0.29,419941670,127277270,0.11
284,1118896,1025559,0.97,0.73,1917969,0.57
285,53141764,113378132,171434277,301209598,354447062,343832812
286,0.07,0.04,0.16,0.21,0.17,0.72
287,0.14,0.36,0.71,0.48,0.14,0.11
288,0.08,22959970,0.07,0.09,0.97,0.1
289,0.32,0.04,0.05,0.09,15294651,1711475
290,1629853,0.3,0.43,0.27,87143458,0.1
291,1085839,0.82,1128949,1315007,12768712,2984669
292,0.23,1549834,0.64,0.41,0.65,0.26
293,4707285,25123834,20620522,2522337,111178359,15674479
294,0.03,0.04,0.05,0.12,0.08,0.1
295,0.72,1056040,0.31,0.94,4490918,11158117
296,0.18,0.41,0.15,0.69,0.56,0.1
297,197959361,265775380,374330878,737969000,1080669342,143931755
298,0.03,0.04,0.05,0.08,0.08,0.46
299,0.42,0.18,20404362,0.57,0.76,0.1
300,1056425,2703215,0.98,1508439,1856027,0.21
301,4373126,4070649,4072096,7704465,39600402,31119054
302,5690360,7856876,4548931,19315698,3136692,1626958
303,4531370,10822274,3379900,1914916,0.33,2173088
304,17163989,23892801,30855630,11004527,6441964,4774295
305,0.34,0.3,0.1,0.09,0.27,0.11
306,7713157,1850030,2857275,1847635,3327138,0.98
307,0.03,0.04,0.05,0.08,0.07,0.11
308,0.14,0.04,0.05,0.08,0.07,0.11
309,14025755,34177154,68645879,44498199,10497113,1019689
311,0.13,0.04,0.25,0.08,0.08,0.11
312,19345674,15716194,8745261,28853455,32060456,6763542
313,2864027,6549858,2245801,51724866,156790227,42928323
314,1011669,1329360,10157013,0.26,100978413,7202559
315,150188341,162788756,116619912,454038084,222847735,18074161
316,0.62,31505858,16224226,148992100,0.15,2375202
317,0.03,0.04,0.06,0.08,0.08,0.12
318,0.77,0.29,4445564,0.19,0.17,17516376
319,3337820,9323990,9479570,6179575,11721464,0.68
320,256366109,125317157,26959242,130331507,15012930,415274990
321,10848850,17961864,18008829,13436540,5791759,1678982
322,2688216,4687728,0.72,0.23,0.27,0.11
323,0.93,1206389,1041446,0.81,9769925,0.54
324,21281807,3357690,32020326,1251266,3211084,56179112
325,1232148,1495634,2172742,2193310,1941378,1560071
326,0.12,0.15,0.07,0.08,0.55,0.11
327,15373069,0.04,0.06,42436792,0.23,1885474
328,4191267,5228016,5162110,6343622,4519284,2055761
329,1409948,3275770,3169831,1034984,2565857,0.81
330,36271847,133938866,151866727,469297934,196137697,42190838
331,70456802,97340901,169548975,272522159,201840246,30725698
350,1279335,0.75,0.75,1660657,2270654,0.12
351,2345854,1743209,1662844,4353500,6748570,0.43
352,13952859,76927444,2769155,0.7,0.53,0.95
